Source	Species	Organ	Matrix	Tx	standard.name	Name	Major Class	Class	Abbreviation	Saturation	Highest Saturation Degree	Cluster	Subclass	Chain Length	Chain Type	Subclass 2	synthesis.pathway	label	label.saturation
Pnnl_ehbs	Human	Lung	"ETT,SPU,HBE"	Normal	LPG(22:6)	PG(22:6/0:0)	Glycerophospholipids	Lysophosphatidylglycerol	LPG	Polyunsaturated	6	Polyunsaturated LPG	Unsaturated LPG	22	VLCFA	Unsaturated LPG-LCFA	Phospholipid Metabolism	Lysophosphatidylglycerol	Unsaturated.Lysophosphatidylglycerol
Pnnl_ehbs	Human	Lung	"ETT,SPU,HBE"	Normal	LPG(22:6)	PG(22:6/0:0)_B	Glycerophospholipids	Lysophosphatidylglycerol	LPG	Polyunsaturated	6	Polyunsaturated LPG	Unsaturated LPG	22	VLCFA	Unsaturated LPG-LCFA	Phospholipid Metabolism	Lysophosphatidylglycerol	Unsaturated.Lysophosphatidylglycerol
Wolf_cv19	Human	Lung	Exudate	COVID+/COVID-	LPG(22:6)	PG(22:6/0:0)_A	Glycerophospholipids	Lysophosphatidylglycerol	LPG	Polyunsaturated	6	Polyunsaturated LPG	Unsaturated LPG	22	VLCFA	Unsaturated LPG-LCFA	Phospholipid Metabolism	Lysophosphatidylglycerol	Unsaturated.Lysophosphatidylglycerol
Wolf_cv19	Human	Lung	Exudate	COVID+/COVID-	LPG(22:6)	PG(22:6/0:0)_B	Glycerophospholipids	Lysophosphatidylglycerol	LPG	Polyunsaturated	6	Polyunsaturated LPG	Unsaturated LPG	22	VLCFA	Unsaturated LPG-LCFA	Phospholipid Metabolism	Lysophosphatidylglycerol	Unsaturated.Lysophosphatidylglycerol
Pnnl_balf	Human	Lung	BALF	Normal	LPI(16:0)	LPI 16:0	Glycerophospholipids	Lysophosphatidylinositol	LPI	Saturated	0	Saturated LPI	Saturated LPI	16	LCFA	Saturated LPI-LCFA	Phospholipid Metabolism	Lysophosphatidylinositol	Saturated.Lysophosphatidylinositol
Pnnl_ehbs	Human	Lung	"ETT,SPU,HBE"	Normal	LPI(16:0)	PI(16:0/0:0)_A	Glycerophospholipids	Lysophosphatidylinositol	LPI	Saturated	0	Saturated LPI	Saturated LPI	16	LCFA	Saturated PI-LCFA	Phospholipid Metabolism	Lysophosphatidylinositol	Saturated.Lysophosphatidylinositol
Pnnl_ehbs	Human	Lung	"ETT,SPU,HBE"	Normal	LPI(16:0)	PI(16:0/0:0)_B	Glycerophospholipids	Lysophosphatidylinositol	LPI	Saturated	0	Saturated LPI	Saturated LPI	16	LCFA	Saturated PI-LCFA	Phospholipid Metabolism	Lysophosphatidylinositol	Saturated.Lysophosphatidylinositol
Pnnl_lsae	Human	Lung	LAE/SAE	Hypoxia/Normoxia	LPI(16:0)	PI(16:0/0:0)_NEG	Glycerophospholipids	Lysophosphatidylinositol	LPI	Saturated	0	Saturated LPI	Saturated LPI	16	LCFA	Saturated PI-LCFA	Phospholipid Metabolism	Lysophosphatidylinositol	Saturated.Lysophosphatidylinositol
Wolf_cv19	Human	Lung	Exudate	COVID+/COVID-	LPI(16:0)	PI(16:0/0:0)_A	Glycerophospholipids	Lysophosphatidylinositol	LPI	Saturated	0	Saturated LPI	Saturated LPI	16	LCFA	Saturated PI-LCFA	Phospholipid Metabolism	Lysophosphatidylinositol	Saturated.Lysophosphatidylinositol
Wolf_cv19	Human	Lung	Exudate	COVID+/COVID-	LPI(16:0)	PI(16:0/0:0)_B	Glycerophospholipids	Lysophosphatidylinositol	LPI	Saturated	0	Saturated LPI	Saturated LPI	16	LCFA	Saturated PI-LCFA	Phospholipid Metabolism	Lysophosphatidylinositol	Saturated.Lysophosphatidylinositol
Pnnl_balf	Human	Lung	BALF	Normal	LPI(16:1)	LPI 16:1	Glycerophospholipids	Lysophosphatidylinositol	LPI	Monounsaturated	1	Monounsaturated LPI	Unsaturated LPI	16	LCFA	Unsaturated LPI-LCFA	Phospholipid Metabolism	Lysophosphatidylinositol	Unsaturated.Lysophosphatidylinositol
Pnnl_ehbs	Human	Lung	"ETT,SPU,HBE"	Normal	LPI(16:1)	PI(16:1/0:0)_A	Glycerophospholipids	Lysophosphatidylinositol	LPI	Monounsaturated	1	Monounsaturated LPI	Unsaturated LPI	16	LCFA	Unsaturated PI-LCFA	Phospholipid Metabolism	Lysophosphatidylinositol	Unsaturated.Lysophosphatidylinositol
Pnnl_ehbs	Human	Lung	"ETT,SPU,HBE"	Normal	LPI(16:1)	PI(16:1/0:0)_B	Glycerophospholipids	Lysophosphatidylinositol	LPI	Monounsaturated	1	Monounsaturated LPI	Unsaturated LPI	16	LCFA	Unsaturated PI-LCFA	Phospholipid Metabolism	Lysophosphatidylinositol	Unsaturated.Lysophosphatidylinositol
Wolf_cv19	Human	Lung	Exudate	COVID+/COVID-	LPI(16:1)	PI(16:1/0:0)	Glycerophospholipids	Lysophosphatidylinositol	LPI	Monounsaturated	1	Monounsaturated LPI	Unsaturated LPI	16	LCFA	Unsaturated PI-LCFA	Phospholipid Metabolism	Lysophosphatidylinositol	Unsaturated.Lysophosphatidylinositol
Arst_pres	Human	Lung	BALF	CF Bronchiectasis Y/N	LPI(18:0)	LPI(18:0)	Glycerophospholipids	Lysophosphatidylinositol	LPI	Saturated	0	Saturated LPI	Saturated LPI	18	LCFA	Saturated LPI-LCFA	Phospholipid Metabolism	Lysophosphatidylinositol	Saturated.Lysophosphatidylinositol
