Source	Species	Organ	Matrix	Tx	standard.name	Name	Major Class	Class	Abbreviation	Saturation	Highest Saturation Degree	Cluster	Subclass	Chain Length	Chain Type	Subclass 2	synthesis.pathway	label	label.saturation
Wolf_cv19	Human	Lung	Exudate	COVID+/COVID-	PC(14:0/18:3)	PC(14:0/18:3)_A	Glycerophospholipids	Phosphatidylcholine	PC	Polyunsaturated	3	Polyunsaturated PC	Unsaturated PC	18	LCFA	Unsaturated PC-LCFA	Phospholipid Metabolism	Phosphatidylcholine	Unsaturated.Phosphatidylcholine
Wolf_cv19	Human	Lung	Exudate	COVID+/COVID-	PC(14:0/18:3)	PC(14:0/18:3)_B	Glycerophospholipids	Phosphatidylcholine	PC	Polyunsaturated	3	Polyunsaturated PC	Unsaturated PC	18	LCFA	Unsaturated PC-LCFA	Phospholipid Metabolism	Phosphatidylcholine	Unsaturated.Phosphatidylcholine
Pnnl_ehbs	Human	Lung	"ETT,SPU,HBE"	Normal	PC(14:0/22:6)	PC(14:0/22:6)	Glycerophospholipids	Phosphatidylcholine	PC	Polyunsaturated	6	Polyunsaturated PC	Unsaturated PC	22	VLCFA	Unsaturated PC-VLCFA	Phospholipid Metabolism	Phosphatidylcholine	Unsaturated.Phosphatidylcholine
Wolf_cv19	Human	Lung	Exudate	COVID+/COVID-	PC(14:0/22:6)	PC(14:0/22:6)	Glycerophospholipids	Phosphatidylcholine	PC	Polyunsaturated	6	Polyunsaturated PC	Unsaturated PC	22	VLCFA	Unsaturated PC-VLCFA	Phospholipid Metabolism	Phosphatidylcholine	Unsaturated.Phosphatidylcholine
Pnnl_balf	Human	Lung	BALF	Normal	PC(14:0_14:0)	PC 28:0|PC 14:0_14:0	Glycerophospholipids	Phosphatidylcholine	PC	Saturated	0	Saturated PC	Saturated PC	14	LCFA	Saturated PC-LCFA	Phospholipid Metabolism	Phosphatidylcholine	Saturated.Phosphatidylcholine
Pnnl_balf	Human	Lung	BALF	Normal	PC(14:0_15:0)	PC 29:0|PC 14:0_15:0	Glycerophospholipids	Phosphatidylcholine	PC	Saturated	0	Saturated PC	Saturated PC	15	LCFA	Saturated PC-LCFA	Phospholipid Metabolism	Phosphatidylcholine	Saturated.Phosphatidylcholine
Morg_pcb	Mouse	Lung	"Trach,Lobe"	"Normal,PCB"	PC(14:0_16:0)	PC 30:0|PC 14:0_16:0	Glycerophospholipids	Phosphatidylcholine	PC	Saturated	0	Saturated PC	Saturated PC	16	LCFA	Saturated PC-LCFA	Phospholipid Metabolism	Phosphatidylcholine	Saturated.Phosphatidylcholine
Pnnl_balf	Human	Lung	BALF	Normal	PC(14:0_16:0)	PC 30:0|PC 14:0_16:0	Glycerophospholipids	Phosphatidylcholine	PC	Saturated	0	Saturated PC	Saturated PC	16	LCFA	Saturated PC-LCFA	Phospholipid Metabolism	Phosphatidylcholine	Saturated.Phosphatidylcholine
Morg_pcb	Mouse	Lung	"Trach,Lobe"	"Normal,PCB"	PC(14:0_16:1)	PC 30:1|PC 14:0_16:1	Glycerophospholipids	Phosphatidylcholine	PC	Monounsaturated	1	Monounsaturated PC	Unsaturated PC	16	LCFA	Unsaturated PC-LCFA	Phospholipid Metabolism	Phosphatidylcholine	Unsaturated.Phosphatidylcholine
Pnnl_balf	Human	Lung	BALF	Normal	PC(14:0_16:1)	PC 30:1|PC 14:0_16:1	Glycerophospholipids	Phosphatidylcholine	PC	Monounsaturated	1	Monounsaturated PC	Unsaturated PC	16	LCFA	Unsaturated PC-LCFA	Phospholipid Metabolism	Phosphatidylcholine	Unsaturated.Phosphatidylcholine
Pnnl_ehbs	Human	Lung	"ETT,SPU,HBE"	Normal	PC(14:1/16:0)	PC(14:1/16:0)_B	Glycerophospholipids	Phosphatidylcholine	PC	Monounsaturated	1	Monounsaturated PC	Unsaturated PC	16	LCFA	Unsaturated PC-LCFA	Phospholipid Metabolism	Phosphatidylcholine	Unsaturated.Phosphatidylcholine
Wolf_cv19	Human	Lung	Exudate	COVID+/COVID-	PC(14:1/18:2)	PC(14:1/18:2)	Glycerophospholipids	Phosphatidylcholine	PC	Polyunsaturated	2	Polyunsaturated PC	Unsaturated PC	18	LCFA	Unsaturated PC-LCFA	Phospholipid Metabolism	Phosphatidylcholine	Unsaturated.Phosphatidylcholine
Pnnl_ehbs	Human	Lung	"ETT,SPU,HBE"	Normal	PC(15:0/16:0)	PC(15:0/16:0)_A	Glycerophospholipids	Phosphatidylcholine	PC	Saturated	0	Saturated PC	Saturated PC	16	LCFA	Saturated PC-LCFA	Phospholipid Metabolism	Phosphatidylcholine	Saturated.Phosphatidylcholine
Pnnl_ehbs	Human	Lung	"ETT,SPU,HBE"	Normal	PC(15:0/16:0)	PC(15:0/16:0)_B	Glycerophospholipids	Phosphatidylcholine	PC	Saturated	0	Saturated PC	Saturated PC	16	LCFA	Saturated PC-LCFA	Phospholipid Metabolism	Phosphatidylcholine	Saturated.Phosphatidylcholine
Wolf_cv19	Human	Lung	Exudate	COVID+/COVID-	PC(15:0/16:0)	PC(15:0/16:0)_A	Glycerophospholipids	Phosphatidylcholine	PC	Saturated	0	Saturated PC	Saturated PC	16	LCFA	Saturated PC-LCFA	Phospholipid Metabolism	Phosphatidylcholine	Saturated.Phosphatidylcholine
Wolf_cv19	Human	Lung	Exudate	COVID+/COVID-	PC(15:0/16:0)	PC(15:0/16:0)_B	Glycerophospholipids	Phosphatidylcholine	PC	Saturated	0	Saturated PC	Saturated PC	16	LCFA	Saturated PC-LCFA	Phospholipid Metabolism	Phosphatidylcholine	Saturated.Phosphatidylcholine
Pnnl_ehbs	Human	Lung	"ETT,SPU,HBE"	Normal	PC(15:0/16:1)	PC(15:0/16:1)_A	Glycerophospholipids	Phosphatidylcholine	PC	Monounsaturated	1	Monounsaturated PC	Unsaturated PC	16	LCFA	Unsaturated PC-LCFA	Phospholipid Metabolism	Phosphatidylcholine	Unsaturated.Phosphatidylcholine
Pnnl_ehbs	Human	Lung	"ETT,SPU,HBE"	Normal	PC(15:0/16:1)	PC(15:0/16:1)_B	Glycerophospholipids	Phosphatidylcholine	PC	Monounsaturated	1	Monounsaturated PC	Unsaturated PC	16	LCFA	Unsaturated PC-LCFA	Phospholipid Metabolism	Phosphatidylcholine	Unsaturated.Phosphatidylcholine
Wolf_cv19	Human	Lung	Exudate	COVID+/COVID-	PC(15:0/16:1)	PC(15:0/16:1)	Glycerophospholipids	Phosphatidylcholine	PC	Monounsaturated	1	Monounsaturated PC	Unsaturated PC	16	LCFA	Unsaturated PC-LCFA	Phospholipid Metabolism	Phosphatidylcholine	Unsaturated.Phosphatidylcholine
Pnnl_ehbs	Human	Lung	"ETT,SPU,HBE"	Normal	PC(15:0/18:1)	PC(15:0/18:1);PC(16:0/17:1)_A	Glycerophospholipids	Phosphatidylcholine	PC	Monounsaturated	1	Monounsaturated PC	Unsaturated PC	18	LCFA	Unsaturated PC-LCFA	Phospholipid Metabolism	Phosphatidylcholine	Unsaturated.Phosphatidylcholine
