class1,class2,comp_type,label
Saturated.Lactosylceramide,Unsaturated.Lactosylceramide,node,Lactosylceramide
Saturated.Lysophosphatidic acid,Unsaturated.Lysophosphatidic acid,node,Lysophosphatidic acid
Saturated.Lysophosphatidylcholine,Unsaturated.Lysophosphatidylcholine,node,Lysophosphatidylcholine
Saturated.Lysophosphatidylethanolamine,Unsaturated.Lysophosphatidylethanolamine,node,Lysophosphatidylethanolamine
Saturated.Lysophosphatidylglycerol,Unsaturated.Lysophosphatidylglycerol,node,Lysophosphatidylglycerol
Saturated.Lysophosphatidylinositol,Unsaturated.Lysophosphatidylinositol,node,Lysophosphatidylinositol
Saturated.Lysophosphatidylserine,Unsaturated.Lysophosphatidylserine,node,Lysophosphatidylserine
Saturated.Phosphatidic acid,Unsaturated.Phosphatidic acid,node,Phosphatidic acid
Saturated.Phosphatidylcholine,Unsaturated.Phosphatidylcholine,node,Phosphatidylcholine
Saturated.Phosphatidylethanol,Unsaturated.Phosphatidylethanol,node,Phosphatidylethanol
Saturated.Phosphatidylethanolamine,Unsaturated.Phosphatidylethanolamine,node,Phosphatidylethanolamine
Saturated.Phosphatidylglycerol,Unsaturated.Phosphatidylglycerol,node,Phosphatidylglycerol
Saturated.Phosphatidylinositol,Unsaturated.Phosphatidylinositol,node,Phosphatidylinositol
Saturated.Phosphatidylserine,Unsaturated.Phosphatidylserine,node,Phosphatidylserine
Saturated.Plasmenyllysophosphatidylcholine,Unsaturated.Plasmenyllysophosphatidylcholine,node,Lysophosphatidylcholine
Saturated.Plasmenyllysophosphatidylethanolamine,Unsaturated.Plasmenyllysophosphatidylethanolamine,node,Lysophosphatidylethanolamine
Saturated.Plasmenylphosphatidylcholine,Unsaturated.Plasmenylphosphatidylcholine,node,Phosphatidylcholine
Saturated.Plasmenylphosphatidylethanolamine,Unsaturated.Plasmenylphosphatidylethanolamine,node,Phosphatidylethanolamine
Saturated.Sphingomyelin,Unsaturated.Sphingomyelin,node,Sphingomyelin
Sphingosine,Unsaturated.Sphingosine,node,Sphingosine
Saturated.Triacylglycerol,Unsaturated.Triacylglycerol,node,Triacylglycerol
OxCer,Cer,node,Ceramide
OxCL,CL,node,Cardiolipin
OxFA,FA,node,Mono/polyunsaturated fatty  acid
OxHexCer,HexCer,node,Glycosylceramide
OxLPC,LPC,node,Lysophosphatidylcholine
OxLPE,LPE,node,Lysophosphatidylethanolamine
OxPA,PA,node,Phosphatidic acid
OxPC,PC,node,Phosphatidylcholine
OxPE,PE,node,Phosphatidylethanolamine
OxPI,PI,node,Phosphatidylinositol
OxPS,PS,node,Phosphatidylserine
OxTG,TG,node,Triacylglycerol
