Node	Name	synthesis.pathway	SetID	Level
DiHEPE	Dihydroxyeicosapentaenoic acid	Eicosanoid Biosynthesis	Oxylipins	1
DPA	Docosapentaenoic acid	Docosanoid Biosynthesis	Oxylipins	1
HpDPE	Hydroperoxydocosapentaenoic acid	Docosanoid Biosynthesis	Oxylipins	1
HDPE	Hydroxydocosapentaenoic acid	Docosanoid Biosynthesis	Oxylipins	1
EpDPE	Epoxydocosapentaenoic acid	Docosanoid Biosynthesis	Oxylipins	1
DiHDPE	Dihydroxydocosapentaenoic acid	Docosanoid Biosynthesis	Oxylipins	1
RvD	Resolvin D	Docosanoid Biosynthesis	Oxylipins	1
RvE	Resolvin E	Eicosanoid Biosynthesis	Oxylipins	1
RvT	Resolvin T	Docosanoid Biosynthesis	Oxylipins	1
PD	Protectin D	Docosanoid Biosynthesis	Oxylipins	1
MaR	Maresin	Docosanoid Biosynthesis	Oxylipins	1
LA	Linoleic acid	Octadecanoid Biosynthesis	Oxylipins	1
HpODE	Hydroperoxyoctadecadienoic acid	Octadecanoid Biosynthesis	Oxylipins	1
HODE	Hydroxyoctadecadienoic acid	Octadecanoid Biosynthesis	Oxylipins	1
EpOME	Epoxyoctadecenoic acid	Octadecanoid Biosynthesis	Oxylipins	1
DiHODE	Dihydroxyoctadecadienoic acid	Octadecanoid Biosynthesis	Oxylipins	1
TriHOME	Trihydroxyoctadecenoic acid	Octadecanoid Biosynthesis	Oxylipins	1
7-alpha-hydroxy-4-cholesten-3-one	7-alpha-hydroxy-4-cholesten-3-one	Bile Acids	Cholesterol Catabolism	1
7-alpha-hydroxycholesterol	7-alpha-hydroxycholesterol	Bile Acids	Cholesterol Catabolism	1
Tauro-chenodeoxycholic acid	Tauro-chenodeoxycholic acid	Bile Acids	Cholesterol Catabolism	1
Tauro-cholic acid	Tauro-cholic acid	Bile Acids	Cholesterol Catabolism	1
Acetyl-CoA	Acetyl-CoA	Lipid precursors	Fatty Acid Metabolism	1
Citrate	Citrate	Lipid precursors	Fatty Acid Metabolism	1
Malonyl-CoA	Malonyl-CoA	Lipid precursors	Fatty Acid Metabolism	1
Mono/polyunsaturated fatty acid	Mono/polyunsaturated fatty acid	Fatty Acids	Fatty Acid Metabolism	1
CDP-Diacylglycerol	CDP-Diacylglycerol	Glycerolipids	Glycerolipid Metabolism	1
Diacylglycerol	Diacylglycerol	Glycerolipids	Glycerolipid Metabolism	1
Glycerol-3-phosphate	Glycerol-3-phosphate	Glycerolipids	Glycerolipid Metabolism	1
